Year;App.;Taxon;Class;Order;Family;Genus;Importer;Exporter;Origin;Importer reported quantity;Exporter reported quantity;Term;Unit;Purpose;Source
2018;I;Aquila heliaca;Aves;Falconiformes;Accipitridae;Aquila;CN;FR;MO;;1;bodies;;T;O
2018;I;Haliaeetus albicilla;Aves;Falconiformes;Accipitridae;Haliaeetus;CZ;KZ;;2;2;live;;Z;C
2018;I;Haliaeetus albicilla;Aves;Falconiformes;Accipitridae;Haliaeetus;DE;CH;;3;;eggs;;P;C
2018;I;Haliaeetus albicilla;Aves;Falconiformes;Accipitridae;Haliaeetus;DE;KZ;;4;;live;;T;C
2018;I;Haliaeetus albicilla;Aves;Falconiformes;Accipitridae;Haliaeetus;DK;IS;;1000;;specimens;kg;S;W
2018;I;Ailurus fulgens;Mammalia;Carnivora;Ailuridae;Ailurus;IM;BE;;;1;live;;Z;C
2018;I;Ailurus fulgens;Mammalia;Carnivora;Ailuridae;Ailurus;TR;FR;;;1;live;;Z;C
2018;I;Alligator sinensis;Reptilia;Crocodylia;Alligatoridae;Alligator;CN;IT;US;;1;leather products (small);;P;W
2018;I;Alligator sinensis;Reptilia;Crocodylia;Alligatoridae;Alligator;CZ;JP;CN;1;;live;;Z;D
2018;I;Alligator sinensis;Reptilia;Crocodylia;Alligatoridae;Alligator;XX;IT;XX;;7;garments;;P;W
2018;I;Alligator sinensis;Reptilia;Crocodylia;Alligatoridae;Alligator;XX;IT;XX;;1;leather products (small);;P;R
2018;I;Alligator sinensis;Reptilia;Crocodylia;Alligatoridae;Alligator;XX;IT;XX;;4;leather products (small);;P;W
2018;I;Caiman latirostris;Reptilia;Crocodylia;Alligatoridae;Caiman;CN;GB;AR;;2;leather products (small);;T;R
2018;I;Caiman latirostris;Reptilia;Crocodylia;Alligatoridae;Caiman;DK;NO;;7;7;live;;Z;C
2018;I;Asarcornis scutulata;Aves;Anseriformes;Anatidae;Asarcornis;SG;GB;;;2;live;;Z;C
2018;I;Branta sandvicensis;Aves;Anseriformes;Anatidae;Branta;AO;NL;;;4;live;;T;C
2018;I;Branta sandvicensis;Aves;Anseriformes;Anatidae;Branta;PK;BE;;1;4;live;;T;C
2018;I;Pachypodium baronii;;Gentianales;Apocynaceae;Pachypodium;CH;DE;;;1;live;;T;D
2018;I;Pachypodium baronii;;Gentianales;Apocynaceae;Pachypodium;JP;CZ;;;1;live;;T;D
2018;I;Pachypodium baronii;;Gentianales;Apocynaceae;Pachypodium;JP;DE;;;2;live;;T;D
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;CH;DE;;;1;live;;T;A
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;CH;IT;;;127;live;;T;D
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;JP;NL;CL;;132;live;;T;D
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;KR;NL;;;72;live;;T;D
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;NL;CL;;80300;;live;;T;D
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;RU;IT;;;12;live;;T;O
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;US;NL;GB;;10;seeds;kg;T;A
2018;I;Araucaria araucana;;Pinales;Araucariaceae;Araucaria;US;NL;GB;;10;seeds;kg;T;D
2018;I;Balaena mysticetus;Mammalia;Cetacea;Balaenidae;Balaena;DK;GL;;3;;baleen;kg;P;O
2018;I;Balaena mysticetus;Mammalia;Cetacea;Balaenidae;Balaena;DK;GL;;1;;baleen;;P;O
2018;I;Balaena mysticetus;Mammalia;Cetacea;Balaenidae;Balaena;DK;GL;;1;;baleen;;P;W
2018;I;Balaena mysticetus;Mammalia;Cetacea;Balaenidae;Balaena;DK;GL;;2485;;specimens;;S;W
2018;I;Balaenidae spp.;Mammalia;Cetacea;Balaenidae;;FR;AU;MO;1;;carvings;;T;O
2018;I;Eubalaena australis;Mammalia;Cetacea;Balaenidae;Eubalaena;CZ;ZA;;400;;specimens;ml;S;W
2018;I;Eubalaena australis;Mammalia;Cetacea;Balaenidae;Eubalaena;CZ;ZA;;201;;specimens;;S;W
2018;I;Eubalaena australis;Mammalia;Cetacea;Balaenidae;Eubalaena;GB;ZA;;50;;specimens;;S;W
2018;I;Eubalaena japonica;Mammalia;Cetacea;Balaenidae;Eubalaena;CH;FR;MO;;0.5;carvings;;Q;O
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;CN;GB;CN;;1;bones;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;CN;GB;CN;;9;derivatives;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;CN;GB;CN;;1;fins;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;CN;GB;CN;;1;skeletons;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;CN;GB;CN;;1;skins;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;ES;IS;;20;;specimens;;S;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;FO;NO;;;432;meat;kg;T;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;GB;CN;;1;;bones;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;GB;CN;;9;;derivatives;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;GB;CN;;1;;fins;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;GB;CN;;1;;skeletons;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;GB;CN;;1;;skins;;E;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;IS;NO;;;4308;meat;kg;T;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;JP;NO;;;148267;meat;kg;T;W
2018;I;Balaenoptera acutorostrata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;US;GB;;;3;specimens;;S;O
2018;I;Balaenoptera borealis;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;ES;IS;;20;;specimens;;S;W
2018;I;Balaenoptera musculus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;CA;NO;;;20;specimens;;S;W
2018;I;Balaenoptera musculus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;ES;IS;;10;;specimens;;S;W
2018;I;Balaenoptera musculus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;NL;NO;;;9;specimens;;S;W
2018;I;Balaenoptera musculus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;US;GB;IE;;36;specimens;;S;O
2018;I;Balaenoptera musculus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;US;GB;;;98;specimens;;S;O
2018;I;Balaenoptera physalus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;CA;NO;;;7;specimens;;S;W
2018;I;Balaenoptera physalus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;ES;IS;;30;;specimens;;S;W
2018;I;Balaenoptera physalus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;FR;IS;;10;;bones;;S;W
2018;I;Balaenoptera physalus;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;NL;NO;;;8;specimens;;S;W
2018;I;Megaptera novaeangliae;Mammalia;Cetacea;Balaenopteridae;Megaptera;DK;GL;;0.1;;specimens;kg;S;W
2018;I;Megaptera novaeangliae;Mammalia;Cetacea;Balaenopteridae;Megaptera;ES;IS;;20;;specimens;;S;W
2018;I;Megaptera novaeangliae;Mammalia;Cetacea;Balaenopteridae;Megaptera;GB;NO;;;18;specimens;;S;W
2018;I;Megaptera novaeangliae;Mammalia;Cetacea;Balaenopteridae;Megaptera;NL;NO;;;59;specimens;;S;W
2018;I;Boa constrictor occidentalis;Reptilia;Serpentes;Boidae;Boa;NO;DK;;3;;live;;T;C
2018;I;Sanzinia madagascariensis;Reptilia;Serpentes;Boidae;Sanzinia;CH;DE;;;2;live;;T;C
2018;I;Sanzinia madagascariensis;Reptilia;Serpentes;Boidae;Sanzinia;CH;NL;;;2;live;;T;C
2018;I;Sanzinia madagascariensis;Reptilia;Serpentes;Boidae;Sanzinia;KZ;FR;;8;4;live;;Z;F
2018;I;Sanzinia madagascariensis;Reptilia;Serpentes;Boidae;Sanzinia;MA;FR;;4;8;live;;Z;F
2018;I;Sanzinia madagascariensis;Reptilia;Serpentes;Boidae;Sanzinia;RU;BY;;;2;live;;P;C
2018;I;Bos gaurus;Mammalia;Artiodactyla;Bovidae;Bos;US;IN;;;4;specimens;;Q;O
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;AT;TR;XX;1;;trophies;;H;W
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;CA;PK;;;1;trophies;;H;W
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;ES;PK;;;1;trophies;;H;W
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;FR;TJ;;2;;trophies;;P;W
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;GB;AE;;0.2;;specimens;ml;S;F
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;HU;TJ;;1;;trophies;;H;W
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;MX;ES;PK;;2;trophies;;H;W
2018;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;US;PK;;;2;trophies;;H;W
2018;I;Capra falconeri heptneri;Mammalia;Artiodactyla;Bovidae;Capra;RU;KZ;;;2;live;;T;C
2018;I;Capra falconeri megaceros;Mammalia;Artiodactyla;Bovidae;Capra;US;PK;;;1;trophies;;H;W
2018;I;Gazella cuvieri;Mammalia;Artiodactyla;Bovidae;Gazella;ES;TN;;;12;specimens;;S;C
2018;I;Hippotragus niger;Mammalia;Artiodactyla;Bovidae;Hippotragus;ID;DK;;;1;live;;Z;C
2018;I;Naemorhedus griseus;Mammalia;Artiodactyla;Bovidae;Naemorhedus;RU;FR;;;1;live;;Z;C
2018;I;Naemorhedus griseus;Mammalia;Artiodactyla;Bovidae;Naemorhedus;RU;PL;;;2;live;;Z;C
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;AT;ZA;;1;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CZ;ZA;;3;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;DE;ZA;;2;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;DE;ZA;;2;;trophies;;P;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;DK;ZA;XX;1;;trophies;;H;W
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;DK;ZA;;7;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;EE;ZA;;1;;trophies;;H;W
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;ES;MX;;3;;trophies;;H;C
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;ES;ZA;;7;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;FR;ZA;;1;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;FR;ZA;;13;;trophies;;P;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;GB;AE;;5;;specimens;;S;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;GB;ZA;;1;;skins;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;HU;ZA;;12;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;OM;AE;;2;;live;;P;C
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;PL;ZA;;1;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;SE;ZA;;1;;trophies;;H;F
2018;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;SK;ZA;;2;;trophies;;H;F
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;CN;OM;AE;;8;live;;T;C
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;DE;ZA;;1;;trophies;;H;F
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;GB;AE;;1;;skulls;;P;C
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;OM;AE;;32;;live;;P;C
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;PK;AE;;18;;live;;P;C
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;PK;AE;;2;;live;;T;C
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;PK;AE;;9;;live;;Z;C
2018;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;SE;AE;;1;;trophies;;H;C
2018;I;Buceros bicornis;Aves;Coraciiformes;Bucerotidae;Buceros;IL;PT;NL;;1;live;;Z;C
2018;I;Rhinoplax vigil;Aves;Coraciiformes;Bucerotidae;Rhinoplax;HK;GB;XX;;4;jewellery;;T;O
2018;I;Cacatua goffiniana;Aves;Psittaciformes;Cacatuidae;Cacatua;BE;CH;BE;1;;live;;Q;C
2018;I;Cacatua goffiniana;Aves;Psittaciformes;Cacatuidae;Cacatua;CH;NL;BE;;1;live;;Q;C
2018;I;Cacatua goffiniana;Aves;Psittaciformes;Cacatuidae;Cacatua;DE;XX;US;1;;live;;P;F
2018;I;Cacatua goffiniana;Aves;Psittaciformes;Cacatuidae;Cacatua;MX;ES;PT;;1;live;;T;C
