ID	Label	Longitud	Latidud
1	GB	-0.083333	51.5
2	OM	58.583333	23.616666666666667
3	PA	-79.533333	8.966666666666667
4	CR	-84.083333	9.933333333333334
5	PL	21.000000	52.25
6	RU	37.600000	55.75
7	AT	16.366667	48.2
8	SI	14.516667	46.05
9	BE	4.333333	50.833333333333336
10	IL	35.233333	31.766666666666666
11	CZ	14.466667	50.083333333333336
12	HU	19.083333	47.5
13	DK	12.583333	55.666666666666664
14	GL	-51.750000	64.18333333333334
15	FI	24.933333	60.166666666666664
16	NO	10.750000	59.916666666666664
17	FR	2.333333	48.86666666666667
18	IS	-21.950000	64.15
19	KZ	71.416667	51.166666666666664
20	US	-77.000000	38.883333
21	JP	139.750000	35.68333333333333
22	CA	-75.700000	45.416666666666664
23	DE	13.400000	52.516666666666666
24	GR	23.733333	37.983333333333334
25	KR	126.983333	37.55
26	NZ	174.783333	-41.3
27	AU	149.133333	-35.266666666666666
28	MX	-99.133333	19.433333333333334
29	BR	-47.916667	-15.783333333333333
30	EC	-78.500000	-0.21666666666666667
31	CH	7.466667	46.916666666666664
32	NL	4.916667	52.35
33	IT	12.483333	41.9
34	ZA	28.216667	-25.7
35	ES	-3.683333	40.4
36	IN	77.200000	28.6
37	TH	100.516667	13.75
38	CN	116.383333	39.916666666666664
39	CO	-74.083333	4.6
40	PY	-57.666667	-25.266666666666666
41	BO	-68.150000	-16.5
42	TW	121.516667	25.033333333333335
43	MT	14.500000	35.88333333333333
44	SK	17.116667	48.15
45	MC	7.416667	43.733333333333334
46	TO	-175.200000	-21.133333333333333
47	AR	-58.666667	-34.583333333333336
48	HK	114.158611	22.278333
49	PH	120.966667	14.6
50	CL	-70.666667	-33.45
51	MG	47.516667	-18.916666666666668
52	ID	106.816667	-6.166666666666667
53	SE	18.050000	59.333333333333336
54	EG	31.250000	30.05
55	MA	-6.816667	34.016666666666666
56	PT	-9.133333	38.71666666666667
57	NC	166.450000	-22.266666666666666
58	MY	101.700000	3.1666666666666665
59	SG	103.850000	1.2833333333333332
60	NI	-86.250000	12.133333333333333
61	SV	-89.200000	13.7
62	EE	24.716667	59.43333333333333
63	LV	24.100000	56.95
64	LA	102.600000	17.966666666666665
65	TN	10.183333	36.8
66	SY	36.300000	33.5
67	JO	35.933333	31.95
68	TZ	39.283333	-6.8
69	BB	-59.616667	13.1
70	GM	-16.566667	13.45
71	NA	17.083333	-22.566666666666666
72	TR	32.866667	39.93333333333333
73	BH	50.566667	26.233333333333334
74	AI	-63.050000	18.216666666666665
75	BN	114.933333	4.883333333333333
76	BS	-77.350000	25.083333333333332
77	BM	-64.783333	32.28333333333333
78	DO	-69.900000	18.466666666666665
79	IE	-6.233333	53.31666666666667
80	PE	-77.050000	-12.05
81	SA	46.700000	24.65
82	VE	-66.866667	10.483333333333333
83	BD	90.400000	23.716666666666665
84	PG	147.183333	-9.45
85	PK	73.050000	33.68333333333333
86	BG	23.316667	42.68333333333333
87	NP	85.316667	27.716666666666665
88	AE	54.366667	24.466666666666665
89	GA	9.450000	0.38333333333333336
90	NG	7.533333	9.083333333333334
91	CD	15.300000	-4.316666666666666
92	MM	96.150000	16.8
93	CU	-82.350000	23.116666666666667
94	KY	-81.383333	19.3
95	SL	-13.233333	8.483333333333333
96	HT	-72.333333	18.533333333333335
97	LC	-61.000000	14
98	SC	55.450000	-4.616666666666667
99	SN	-17.633333	14.733333333333333
100	VN	105.850000	21.033333333333335
101	AS	-170.700000	-14.266666666666667
102	CK	-159.766667	-21.2
103	FJ	178.416667	-18.133333333333333
104	KI	169.533333	-0.8833333333333333
105	TK	-171.833333	-9.166667
106	AO	13.216667	-8.833333333333334
