Source	Target	Weight
1	2	196
1	12	290
1	14	57
1	42	4
1	5	160
1	3	30
1	7	7
1	4	2
1	18	24
1	10	19
1	80	1
1	33	10
1	27	42
1	41	2
1	66	6
1	46	3
1	109	1
1	51	12
1	15	7
1	103	4
1	44	2
1	32	6
1	40	2
1	104	7
1	172	1
1	127	1
1	97	1
1	90	1
1	118	1
1	43	1
1	113	4
1	123	2
1	156	3
1	77	2
2	25	97
2	8	1
2	34	1
2	26	34
2	16	49
2	58	368
2	45	2
2	2	90
2	13	78
2	6	190
2	35	36
2	71	12
2	32	13
2	77	2
2	47	60
2	82	3
2	1	45
2	20	43
2	63	18
2	84	6
2	73	36
2	11	17
2	59	10
2	97	1
2	81	1
2	67	14
2	37	16
2	105	9
2	23	127
2	65	27
2	95	11
2	104	6
2	106	7
2	111	3
2	133	534
2	30	7
2	136	11
2	53	4
2	107	2
2	22	20
2	29	67
2	4	7
2	66	3
2	50	9
2	140	3
2	177	45
2	39	123
2	176	41
2	14	1
2	15	5
2	72	11
2	38	5
2	69	7
2	118	6
2	193	5
2	75	1
2	112	1
2	161	3
2	21	1
2	180	2
2	76	1
2	184	5
2	190	2
2	94	2
2	93	1
2	199	10
2	200	2
2	101	1
2	132	1
2	57	1
2	19	1
2	157	4
2	159	2
2	83	2
2	129	2
2	158	3
2	92	3
2	99	2
2	78	3
2	164	1
2	48	2
2	114	1
2	168	2
2	181	1
2	55	1
2	170	2
2	123	3
2	148	1
3	4	2
3	13	6
3	26	30
3	6	19
3	1	8
3	23	24
3	35	8
3	83	2
3	95	9
3	105	2
3	126	2
3	73	1
3	16	1
3	22	9
3	25	26
3	39	90
3	191	5
3	118	1
3	52	2
3	65	13
3	103	4
3	106	2
3	104	4
3	58	4
3	29	7
3	172	1
3	32	4
3	135	2
3	55	1
3	107	3
3	71	3
3	101	1
3	11	1
3	34	1
3	69	1
3	67	1
4	2	29
4	12	63
4	22	21
4	75	4
4	3	5
4	35	16
4	31	6
4	5	14
4	161	4
4	1	1
4	33	1
4	18	11
4	77	1
4	27	2
4	98	3
5	6	398
5	4	3
5	26	122
5	55	238
5	58	348
5	64	9
5	59	20
5	65	95
5	67	327
5	45	5
5	20	25
5	77	524
5	1	79
5	16	28
5	11	10
5	95	47
5	25	132
5	15	10
5	105	12
5	23	283
5	35	23
5	85	3
5	29	66
5	72	34
5	121	4
5	104	10
