ID	Label	Bipartito
1	Aquila heliaca	0
2	S	1
3	T	1
4	Z	1
5	Haliaeetus albicilla	0
6	B	1
7	P	1
8	N	1
9	Haliaeetus leucocephalus	0
10	Harpia harpyja	0
11	Agave parviflora	0
12	Ailurus fulgens	0
13	Alligator sinensis	0
14	Caiman crocodilus apaporiensis	0
15	Caiman latirostris	0
16	Melanosuchus niger	0
17	Anas aucklandica	0
18	Anas chlorotis	0
19	Anas laysanensis	0
20	Asarcornis scutulata	0
21	Branta canadensis leucopareia	0
22	Branta sandvicensis	0
23	Pachypodium baronii	0
24	Balaena spp.	0
25	Balaena mysticetus	0
26	Eubalaena australis	0
27	Balaenoptera acutorostrata	0
28	Balaenoptera edeni	0
29	Balaenoptera musculus	0
30	Balaenoptera physalus	0
31	Megaptera novaeangliae	0
32	Acrantophis spp.	0
33	Acrantophis dumerili	0
34	Acrantophis madagascariensis	0
35	Boa constrictor	0
36	Boa constrictor occidentalis	0
37	Q	1
38	Epicrates inornatus	0
39	Epicrates subflavus	0
40	Sanzinia madagascariensis	0
41	Addax nasomaculatus	0
42	H	1
43	Bison bison athabascae	0
44	Bos gaurus	0
45	Bos mutus	0
46	Capra falconeri	0
47	Capricornis sumatraensis	0
48	Naemorhedus goral	0
49	Nanger dama	0
50	Oryx dammah	0
51	Oryx leucoryx	0
52	Pantholops hodgsonii	0
53	E	1
54	Buceros bicornis	0
55	Buceros bicornis homrai	0
56	Rhinoplax vigil	0
57	Cacatua goffiniana	0
58	Cacatua haematuropygia	0
59	Cacatua moluccensis	0
60	Probosciger aterrimus	0
61	Ariocarpus spp.	0
62	Ariocarpus agavoides	0
63	Ariocarpus fissuratus	0
64	Ariocarpus kotschoubeyanus	0
65	Ariocarpus retusus	0
66	Ariocarpus scaphirostris	0
67	Ariocarpus trigonus	0
68	Astrophytum asterias	0
69	Aztekium ritteri	0
70	Cactaceae spp.	0
71	Coryphantha werdermannii	0
72	Discocactus spp.	0
73	Discocactus bahiensis	0
74	Discocactus catingicola	0
75	Discocactus ferricola	0
76	Discocactus hartmannii	0
77	Discocactus heptacanthus	0
78	Discocactus horstii	0
79	Discocactus placentiformis	0
80	Discocactus pseudoinsignis	0
81	Discocactus zehntneri	0
82	Echinocereus ferreiranus	0
83	Echinocereus schmollii	0
84	Escobaria minima	0
85	Escobaria sneedii	0
86	Escobaria sneedii leei	0
87	Leuchtenbergia principis	0
88	Mammillaria pectinifera	0
89	Mammillaria plumosa	0
90	Melocactus conoideus	0
91	Melocactus glaucescens	0
92	Obregonia denegrii	0
93	Pediocactus bradyi	0
94	Pediocactus bradyi despainii	0
95	Pediocactus bradyi winkleri	0
96	Pediocactus knowltonii	0
97	Pediocactus paradinei	0
98	Pediocactus peeblesianus	0
99	Pediocactus sileri	0
100	Pelecyphora spp.	0
101	Pelecyphora aselliformis	0
102	Pelecyphora strobiliformis	0
103	Sclerocactus brevihamatus	0
104	Sclerocactus erectocentrus	0
105	Sclerocactus glaucus	0
106	Sclerocactus mariposensis	0
107	Sclerocactus mesae-verdae	0
108	Sclerocactus papyracanthus	0
109	Sclerocactus pubispinus	0
110	Sclerocactus wrightiae	0
111	Strombocactus disciformis	0
112	Turbinicarpus spp.	0
113	G	1
114	Turbinicarpus gielsdorfianus	0
115	Turbinicarpus hoferi	0
116	Turbinicarpus horripilus	0
117	Turbinicarpus laui	0
118	Turbinicarpus lophophoroides	0
119	Turbinicarpus pseudomacrochele	0
120	Turbinicarpus pseudopectinatus	0
121	Turbinicarpus saueri	0
122	Turbinicarpus schmiedickeanus	0
123	Turbinicarpus subterraneus	0
124	Turbinicarpus swobodae	0
125	Turbinicarpus valdezianus	0
126	Turbinicarpus viereckii	0
127	Uebelmannia spp.	0
128	Uebelmannia buiningii	0
129	Uebelmannia gummifera	0
130	Uebelmannia pectinifera	0
131	Vicugna vicugna	0
132	Speothos venaticus	0
133	Vultur gryphus	0
134	Callimico goeldii	0
135	Leontopithecus spp.	0
136	Leontopithecus chrysomelas	0
137	Leontopithecus rosalia	0
138	Saguinus bicolor	0
139	Saguinus oedipus	0
140	M	1
141	Saimiri oerstedii	0
142	Cercopithecus diana	0
143	Macaca silenus	0
144	Mandrillus spp.	0
145	Mandrillus leucophaeus	0
