Source	Target
1	2
2	3
2	9
2	10
2	11
2	12
2	13
2	14
2	18
2	19
2	34
2	37
2	38
2	40
2	42
2	43
2	44
2	57
2	60
2	61
2	74
2	77
2	78
2	89
2	91
4	5
5	19
5	80
6	7
7	8
7	15
7	16
7	17
7	18
7	19
7	21
7	26
7	27
7	28
7	29
7	31
7	32
7	33
7	35
7	36
7	37
7	41
7	43
7	45
7	46
7	47
7	48
7	49
7	50
7	51
7	55
7	56
7	58
7	59
7	60
7	61
7	62
7	63
7	64
7	65
7	66
7	67
7	68
7	69
7	70
7	71
7	72
7	74
7	75
7	76
7	77
7	78
7	79
7	80
7	81
7	83
7	84
7	85
7	86
7	87
7	88
7	89
7	90
7	91
7	98
19	20
20	30
20	60
20	73
22	23
22	24
22	25
23	57
23	60
23	82
25	52
38	39
39	40
39	89
52	53
52	54
92	93
94	95
94	96
95	97
