ID	Label	Bipartito
1	Alligator mississippiensis	0
2	skins	1
3	Melanosuchus niger	0
4	Rupicapra pyrenaica ornata	0
5	trophies	1
6	Macaca silenus	0
7	live	1
8	Caloenas nicobarica	0
9	Crocodylus spp.	0
10	Crocodylus cataphractus	0
11	Crocodylus moreletii	0
12	Crocodylus niloticus	0
13	Crocodylus siamensis	0
14	Osteolaemus tetraspis	0
15	Tomistoma schlegelii	0
16	Elephas maximus	0
17	Equus przewalskii	0
18	Panthera onca	0
19	Panthera pardus	0
20	garments	1
21	Panthera uncia	0
22	Grus americana	0
23	bodies	1
24	shells	1
25	eggs	1
26	Gorilla gorilla	0
27	Pongo pygmaeus	0
28	Eulemur macaco	0
29	Varecia variegata	0
30	Lontra longicaudis	0
31	Lophura swinhoii	0
32	Syrmaticus humiae	0
33	Anodorhynchus leari	0
34	Python molurus molurus	0
35	Leucopsar rothschildi	0
36	Tapirus indicus	0
37	Varanus bengalensis	0
38	Varanus flavescens	0
39	leather products (small)	1
40	Varanus griseus	0
41	Ailurus fulgens	0
42	Caiman spp.	0
43	Caiman crocodilus	0
44	Caiman crocodilus fuscus	0
45	Paleosuchus spp.	0
46	Branta ruficollis	0
47	Dendrocygna arborea	0
48	Boa constrictor	0
49	Eunectes notaeus	0
50	Buceros bicornis	0
51	Probosciger aterrimus	0
52	Chelonia mydas	0
53	calipee	1
54	soup	1
55	Ciconia nigra	0
56	Gallicolumba luzonica	0
57	Crocodylus novaeguineae	0
58	Falco biarmicus	0
59	Polihierax semitorquatus	0
60	Leopardus pardalis	0
61	Leopardus wiedii	0
62	Leptailurus serval	0
63	Panthera tigris	0
64	Heloderma horridum	0
65	Pan troglodytes	0
66	Dendrolagus inustus	0
67	Polyplectron bicalcaratum	0
68	Phoenicoparrus andinus	0
69	Phoenicoparrus jamesi	0
70	Eunymphicus cornutus	0
71	Prosopeia personata	0
72	Tanygnathus lucionensis	0
73	Python spp.	0
74	Python bivittatus	0
75	Python curtus	0
76	Python regius	0
77	Python reticulatus	0
78	Python sebae	0
79	Gallirallus australis hectori	0
80	Diceros bicornis	0
81	Tapirus terrestris	0
82	Aldabrachelys gigantea	0
83	Chelonoidis carbonarius	0
84	Indotestudo elongata	0
85	Malacochersus tornieri	0
86	Stigmochelys pardalis	0
87	Testudo hermanni	0
88	Varanus exanthematicus	0
89	Varanus niloticus	0
90	Varanus rudicollis	0
91	Varanus salvator	0
92	Balaenidae spp.	0
93	bone carvings	1
94	Monodon monoceros	0
95	carvings	1
96	tusks	1
97	Odobenus rosmarus	0
98	Ursus maritimus	0
