Actor;Movies
Karen Allen;Malcolm X|National Lampoon's Animal House|Starman
Taye Diggs;House on Haunted Hill|Go|Basic|Chicago|Equilibrium|Rent
Michael Murphy;Salvador|Cloak & Dagger|Nashville|Salvador|Manhattan|Cloak & Dagger
Les Tremayne;The War of the Worlds|The War of the Worlds
Bridgette Wilson;Mortal Kombat|Nixon|House on Haunted Hill
Nicole Ari Parker;Exiled: A Law & Order Movie|Blue Streak
Glenn Close;The Big Chill|Air Force One|Hamlet|The Stepford Wives|The House of the Spirits|Jagged Edge
Clarence Nash;Mickey's Christmas Carol|Der Fuehrer's Face|Donald's Cousin Gus
Julia Montgomery;Revenge of the Nerds IV: Nerds in Love|Revenge of the Nerds III: The Next Generation
Art Malik;Booty Call|A Kid in King Arthur's Court
Juliette Greco;Bonjour tristesse|Everyman's Feast
Pruitt Taylor Vince;JFK|Identity|Heavy|Nobody's Fool|Constantine
Annie Potts;She's Having a Baby|Who's Harry Crumb?
May McAvoy;Ben-Hur|The Jazz Singer
Tom Powers;Destination Moon|Double Indemnity
Tom Felton;Harry Potter and the Order of the Phoenix|Harry Potter and the Half-Blood Prince|Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Geraldine Somerville;Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Order of the Phoenix|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Frank Finlay;Lifeforce|Othello
Val Avery;Faces|Faces
Hugh Jackman;Someone Like You|Swordfish|Kate & Leopold|X-Men|X2
Tobey Maguire;Spider-Man|Seabiscuit|Don's Plum|The Wizard
Robert Taylor;Quo Vadis|Three Comrades
Raghuvaran;Run|Shiva|Anjali
Gregory Smith;The Patriot|Zenon: Girl of the 21st Century
Dudley Moore;Micki + Maude|Arthur|10|Bedazzled
Jack Palance;The Professionals|Batman|Contempt
John Neville;Spider|Little Women
Melina Mercouri;Stella|Topkapi
Joan Crawford;Queen Bee|Grand Hotel|Dead Men Don't Wear Plaid|Possessed
Freddie Prinze, Jr.;Delgo|Wing Commander|She's All That|Scooby-Doo 2: Monsters Unleashed|Scooby-Doo
Chris Elliott;There's Something About Mary|Medusa: Dare to Be Truthful|Cabin Boy|Groundhog Day
Leonard Marx;Room Service|A Night at the Opera|Saps at Sea|A Day at the Races|Animal Crackers|Monkey Business
Sherman Hemsley;Alice in Wonderland|Mr. Nanny
Robert Montgomery;Mr. & Mrs. Smith|The Big House
Leelee Sobieski;Max|Uprising|Deep Impact
Danny Huston;Spanish Fly|Birth|Silver City
Cecile de France;Around the World in 80 Days|L'Auberge espagnole
Dabney Coleman;Exiled: A Law & Order Movie|You've Got Mail|Midway|Cloak & Dagger|Domino
Allen Garfield;The Cotton Club|Continental Divide
George O'Hanlon;Jetsons: The Movie|Kronos
Sophia Myles;Thunderbirds|Underworld
Dania Ramirez;25th Hour|Fat Albert
Neil Fanning;Scooby-Doo 2: Monsters Unleashed|Scooby-Doo
Jodi Benson;The Little Mermaid|Lady and the Tramp II: Scamp's Adventure|The Little Mermaid II: Return to the Sea
Alexander Godunov;Witness|North
Fran Drescher;Jack|Ragtime|Santa's Slay|UHF
Luise Rainer;The Great Waltz|The Good Earth
Danny Trejo;Anaconda|XXX|Anchorman: The Legend of Ron Burgundy|Desperado|Heat
Carel Struycken;Ewoks: The Battle for Endor|Men in Black
Peter Riegert;How to Kill Your Neighbor's Dog|National Lampoon's Animal House|The Mask
Kevin Bacon;National Lampoon's Animal House|Mystic River|Criminal Law|Apollo 13|JFK|Friday the 13th|Sleepers|Starting Over|She's Having a Baby|Diner|Tremors|My Dog Skip|Balto
John Hillerman;Chinatown|Paper Moon
Ann Sheridan;Dodge City|Edge of Darkness
Tony Leung Chiu Wai;Happy Together|Hero|Cyclo|2046
Ralph Richardson;Exodus|Greystoke - The Legend of Tarzan, Lord of the Apes|O Lucky Man!|Richard III|Battle of Britain
Ray Walston;Rad|Popeye
George Wendt;Dreamscape|Forever Young
Gabrielle Fitzpatrick;Mr. Nice Guy|Mighty Morphin' Power Rangers: The Movie
Carl Weathers;Little Nicky|Predator
Tippi Hedren;The Birds|Marnie
Zhang Ziyi;Hero|2046
Jay O. Sanders;JFK|Daylight|JFK|Daylight
Louise Fletcher;Brainstorm|Exorcist II: The Heretic
Ryo Ishibashi;Audition|Brother
Frank Gorshin;Batman|That Darn Cat!
David Schwimmer;Wolf|Madagascar|Apt Pupil|Rapunzel|Uprising
Kathleen Quinlan;Event Horizon|Apollo 13|The Doors|Twilight Zone: The Movie|Airport '77
Mos Def;The Hitchhiker's Guide to the Galaxy|Monster's Ball|Carmen: A Hip Hopera
Kathy Najimy;Rat Race|Sister Act 2: Back in the Habit
Anthony Heald;8mm|Red Dragon
Faizon Love;Friday|Elf|Made|Posse
Hugh Bonneville;Iris|Notting Hill
Royce D. Applegate;Splash|Seabiscuit|Gettysburg
Sterling Hayden;The Star|1900|Suddenly|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Moira Kelly;Chaplin|The Lion King II: Simba's Pride|Twin Peaks: Fire Walk With Me
Celia Weston;Hulk|The Talented Mr. Ripley|The Village
Nathan West;Bring It On|Miracle
Alan North;Lean on Me|Jerky Boys: The Movie
Richard E. Grant;Bram Stoker's Dracula|Cuckoo
Barry Sullivan;Queen Bee|Earthquake|Strategic Air Command
Henry Gibson;Gremlins 2: The New Batch|Magnolia|Nashville|Tom and Jerry: The Movie|The 'Burbs
Naomi Watts;Ned Kelly|Mulholland Drive|Flirting|King Kong|Rabbits
Cheech Marin;Cheech & Chong's Up in Smoke|After Hours|Oliver & Company|Cheech & Chong's Next Movie|Desperado|Cars|Born in East L.A.
Kieran Culkin;She's All That|Father of the Bride|Home Alone 2: Lost in New York
Joanne Whalley;Willow|Scandal
Lew Ayres;Young Dr. Kildare|State Fair
Nancy Kyes;John Carpenter's The Fog|Assault on Precinct 13|Halloween III: Season of the Witch|Halloween
Gina Gershon;Bound|Guinevere|Face/Off|The Insider|Prey for Rock & Roll|Cocktail
Bernard Hill;Titanic|The Lord of the Rings: The Return of the King|The Lord of the Rings: The Two Towers
Katharine Towne;But I'm a Cheerleader|Mulholland Drive
Mink Stole;Cecil B. Demented|Polyester|But I'm a Cheerleader
Alan King;Cat's Eye|Casino
Jennifer Coolidge;The Broken Hearts Club: A Romantic Comedy|Legally Blonde 2: Red, White & Blonde|Lemony Snicket's A Series of Unfortunate Events|Down to Earth|Robots
Jason London;Out Cold|To Wong Foo, Thanks for Everything! Julie Newmar|Greed|Dazed and Confused
Vanessa L. Williams;Soul Food|The Jacksons: An American Dream|Eraser|Shaft
Joan Collins;Tales from the Crypt|Island in the Sun
Eric Idle;An Alan Smithee Film: Burn Hollywood Burn|Delgo|The Rutles|South Park: Bigger, Longer & Uncut|Casper
Elizabeth McGovern;Ragtime|King of the Hill|She's Having a Baby
Don Rickles;Dirty Work|Kelly's Heroes|X|Casino
Betty Field;Of Mice and Men|Picnic|Bus Stop
Peter Graves;The Night of the Hunter|Mission: Impossible|Airplane!
Michael Graham Cox;The Lord of the Rings|Watership Down
