Source	Target
1	779
1	419
1	1184
1	1235
1	45
1	1518
1	1541
1	1008
1	248
1	1228
2	336
2	733
2	1302
2	1756
2	510
2	677
2	680
2	1414
2	402
2	1545
2	1475
2	1498
2	791
2	235
2	1477
2	319
2	653
2	1807
2	1705
2	160
2	437
2	387
2	778
2	575
2	1325
2	1014
2	1016
2	1749
2	448
2	365
2	1359
3	274
3	1285
3	1274
3	389
3	1686
3	419
3	245
3	1791
3	1518
3	181
3	918
3	1265
3	147
3	36
3	1681
3	171
4	1069
4	1285
4	46
4	1197
4	319
4	1200
4	1894
4	985
5	1386
5	613
5	1600
5	181
5	1393
5	1183
5	457
5	875
5	1191
5	410
5	1066
5	1743
5	957
5	1650
5	1654
5	134
5	1011
5	46
5	1038
5	136
5	1886
5	109
5	359
5	1129
5	1226
5	1722
5	540
6	1725
6	425
6	1110
6	1388
6	1598
6	1410
6	1758
6	1494
6	1521
6	1415
6	1550
6	154
6	492
6	1286
6	1288
6	598
6	1646
6	567
6	1036
6	889
6	502
6	1718
6	138
6	1658
6	1355
6	1785
7	1054
7	570
7	1779
8	843
8	428
8	587
8	58
8	1694
8	1793
8	1496
8	1835
8	1838
8	1839
8	32
8	999
8	1580
8	748
8	719
8	692
8	1398
8	1255
8	1647
8	1319
8	700
8	1069
8	753
8	167
8	1585
8	1886
8	168
8	217
8	840
9	815
9	80
9	399
9	428
9	844
9	1390
9	1334
9	228
9	680
9	549
9	151
9	264
9	1840
9	238
9	270
9	1370
9	1252
9	244
9	1741
9	1887
9	724
9	1166
9	1267
9	474
9	729
9	1826
10	1232
10	1233
10	87
10	227
10	233
10	944
10	619
10	1607
10	267
10	1771
10	803
10	1317
10	1065
10	13
10	919
10	1559
10	836
10	1509
10	504
10	1045
10	113
11	997
11	387
11	1417
11	1286
11	875
11	295
11	1483
11	181
11	664
11	1822
11	86
11	1432
11	213
12	1495
12	390
12	720
12	297
13	233
13	944
13	619
13	1235
13	227
14	1820
15	134
15	932
15	124
15	1677
15	32
15	58
15	1711
15	1266
15	1102
15	1610
15	1812
15	1393
16	449
16	1331
16	613
16	1077
16	1861
16	402
16	189
16	518
16	95
16	912
16	1641
16	1316
16	1397
16	1159
16	1287
16	1873
16	163
16	1066
16	1876
16	276
16	165
16	443
16	569
16	1071
16	607
16	170
17	1238
17	428
17	370
17	1334
17	1573
17	1632
17	650
17	875
17	1341
17	1278
17	1313
17	1344
17	1222
17	245
17	1453
17	1681
17	1349
17	329
17	137
17	1297
17	635
17	538
17	1231
18	784
18	1499
18	204
18	347
19	1106
19	282
19	1443
19	749
19	753
19	187
19	977
19	736
19	1031
19	1635
19	1793
19	1555
19	1702
19	547
19	1143
20	1386
20	1051
20	1517
20	1364
20	820
20	1665
20	486
20	617
20	1396
20	153
20	1343
20	798
20	623
20	718
20	1220
20	351
20	1397
20	1676
20	563
20	1713
20	1651
20	1532
20	387
20	46
20	502
20	813
20	111
20	730
21	1013
21	356
21	804
21	129
21	1000
21	1794
21	881
22	1345
22	1865
22	1172
22	1104
22	325
23	80
23	56
23	1388
23	1241
23	1212
23	318
23	403
23	618
23	234
23	1090
23	1063
23	625
23	957
23	1400
23	1122
23	276
23	568
23	1036
23	279
23	770
23	1166
23	359
23	1355
23	893
23	1327
24	87
24	366
24	863
24	1564
25	1456
25	1124
25	157
25	1032
25	1577
25	437
25	108
25	1064
25	419
25	1518
25	1541
25	657
25	795
25	317
25	318
25	1682
26	1463
26	399
26	739
26	58
26	1692
26	760
26	292
26	515
26	849
26	875
26	1670
26	827
26	1252
26	437
26	1161
26	1845
26	888
26	328
26	1014
26	774
26	1226
26	1749
26	863
26	114
27	964
27	1512
27	965
27	288
27	1110
27	966
27	1827
27	428
27	1410
27	844
27	1147
27	1732
27	1629
27	372
27	318
27	1415
27	340
27	1183
27	684
27	1605
27	1248
27	152
27	1250
27	433
27	1278
27	196
27	296
27	64
27	319
27	912
27	1524
27	948
27	265
27	1841
27	1088
27	1421
27	624
27	1252
27	655
27	1504
27	156
27	1676
27	1842
27	805
27	1711
27	1618
27	1035
27	305
27	1715
27	1068
27	1124
27	46
27	533
27	1887
27	661
27	775
27	1073
27	1265
27	219
27	394
27	636
27	141
28	964
28	898
28	1516
28	368
28	586
28	369
28	1245
28	789
28	1495
28	648
28	1835
28	93
28	491
28	1701
28	519
28	559
28	913
28	1003
28	720
28	1842
28	693
28	805
28	806
28	1714
28	446
28	1100
28	1586
28	1019
29	476
29	1594
29	120
29	1696
29	1085
29	151
29	433
29	713
29	319
29	1155
29	1252
29	1219
29	1807
29	1555
29	1320
29	1507
29	1508
29	889
29	387
29	1488
29	1585
29	504
29	774
29	1511
29	1894
30	1661
30	1386
30	233
30	698
30	1465
30	1089
30	139
30	1618
30	147
30	1503
30	132
31	142
31	368
31	901
31	1210
31	454
31	405
31	1476
31	1185
31	714
31	1866
31	1739
31	275
31	1034
31	628
31	1846
31	576
31	838
31	1227
31	1174
32	1142
32	542
32	1273
32	932
32	898
32	843
32	1360
32	428
32	58
32	587
32	480
32	226
32	709
32	1024
32	1549
32	237
32	1342
32	715
32	746
32	1524
32	1770
32	1610
32	1580
32	748
32	1217
32	66
32	624
32	1527
32	719
32	952
32	1255
32	1159
32	437
32	1222
32	41
32	527
32	1647
32	1197
32	1448
32	1750
32	1875
32	1678
32	957
32	104
32	657
32	694
32	45
32	810
32	1140
32	1069
32	387
32	446
32	1585
32	1656
32	1100
32	1620
32	1202
32	1127
32	283
32	1168
32	168
32	252
32	217
32	728
32	1228
33	1512
33	562
33	416
33	1255
33	390
33	1250
33	1197
33	357
33	1046
33	920
33	1559
33	747
34	890
34	1527
34	609
34	802
34	188
34	1100
34	1499
34	991
34	1542
34	694
34	1260
34	141
34	1738
35	1386
35	508
35	222
35	1856
35	736
35	843
35	1572
35	785
35	1829
35	512
35	1471
35	1698
35	187
35	710
35	1441
35	522
35	878
35	1191
35	203
35	437
35	563
35	163
35	208
35	248
35	500
35	70
35	215
35	753
35	1457
35	136
35	1166
35	1889
35	221
36	1728
36	966
36	1238
36	1626
36	181
36	1493
36	147
36	1630
36	1081
36	334
36	1149
36	1309
36	1605
36	684
36	189
36	125
36	1477
36	912
36	154
36	461
36	39
36	1643
36	1615
36	1488
36	307
36	1014
36	1621
36	286
36	1265
36	1358
36	1724
37	1727
37	931
37	387
37	156
37	1779
37	1374
37	614
37	1433
37	676
37	467
37	957
37	1174
38	1725
38	1592
38	1409
38	864
38	1756
38	707
38	60
38	1545
38	1666
38	944
38	124
38	1086
38	191
38	554
38	1281
38	1737
38	624
38	1001
38	691
38	42
38	1222
38	411
38	1292
38	960
38	418
38	136
38	664
38	893
38	1328
38	1785
39	1299
39	1388
39	844
39	1493
39	1212
39	511
39	678
39	334
39	1149
39	403
39	1475
39	684
39	1547
39	1477
39	196
39	553
39	764
39	238
39	461
39	1771
39	1503
39	623
39	1371
39	1286
39	625
39	1447
39	1095
39	1649
39	276
39	698
39	569
39	1585
39	1014
39	286
39	1749
39	1075
40	1745
40	562
40	1418
40	100
40	1858
40	428
40	1304
40	867
40	1441
40	1312
40	657
40	537
40	584
41	817
41	901
41	1627
41	615
41	454
41	819
41	1365
41	237
41	746
41	1524
41	1770
41	1802
41	1191
41	624
41	1581
41	464
41	104
41	1140
41	446
41	1297
41	1851
41	1894
42	1725
42	78
42	476
42	1131
42	478
42	1756
42	1791
42	1113
42	60
42	512
42	484
42	339
42	996
42	124
42	1396
42	154
42	270
42	406
42	1287
42	1222
42	1065
42	208
42	1876
42	70
42	1400
42	276
42	442
42	1533
42	166
42	418
42	136
42	1657
42	1658
42	1268
43	293
43	46
43	368
43	1540
43	1431
43	696
44	1661
44	965
44	585
44	932
44	1689
44	368
44	1517
44	1828
44	1598
44	1629
44	229
44	679
44	1080
44	1182
44	1084
44	550
44	1246
44	1834
44	431
44	1835
44	595
44	714
44	270
44	882
44	977
44	1481
44	324
44	803
44	769
44	1552
44	1772
44	887
44	1162
44	1320
44	1878
44	304
44	1681
44	923
44	1488
44	723
44	925
44	753
44	1100
44	839
44	1015
44	1129
44	663
44	309
44	217
44	422
44	423
44	221
45	1273
45	1235
45	1518
45	1541
45	709
45	1549
45	157
45	1008
45	248
45	1774
45	1069
45	419
45	283
45	1168
45	49
45	1750
45	1228
46	1512
46	288
46	1435
46	116
46	1110
46	368
46	1755
46	258
46	1051
46	1827
46	844
46	1518
46	1628
46	318
46	485
46	1394
46	1521
46	617
46	506
46	1248
46	1440
46	196
46	296
46	319
46	1524
46	1867
46	1703
46	462
46	1801
46	1218
46	1252
46	719
46	156
46	1092
46	955
46	598
46	1676
46	1005
46	1842
46	1711
46	696
46	302
46	1618
46	211
46	1813
46	354
46	1068
46	1124
46	1126
46	355
46	251
46	136
46	1886
46	419
46	1657
46	775
46	1129
46	1384
46	1173
46	1268
46	141
46	396
46	1230
46	985
47	366
47	1386
47	1132
47	226
47	60
47	709
47	1417
47	1475
47	235
47	1550
47	690
47	801
47	1483
47	211
47	1882
47	603
47	1685
47	982
47	1822
47	893
47	1328
48	1750
48	1234
48	1760
50	1562
50	281
50	1463
50	1337
50	156
50	692
50	1409
50	1858
50	1550
50	1635
50	534
50	1775
50	440
50	1519
50	467
50	1652
50	1037
50	1825
51	1206
51	779
51	426
51	817
51	1625
51	1077
51	1493
51	1276
51	1418
51	1840
51	1441
51	621
51	492
51	1221
51	1222
51	657
51	1126
51	1072
51	1266
51	139
51	1204
51	254
51	171
52	1442
53	335
53	1595
53	1132
53	677
53	482
53	548
53	905
53	1310
53	551
53	946
53	1770
53	1639
53	66
53	596
53	495
53	719
53	1842
53	247
53	249
53	1400
53	1009
53	1508
53	1122
53	1882
53	569
53	444
53	1685
53	418
53	1457
53	357
53	1045
53	139
53	472
54	1726
54	1462
54	1038
54	329
54	1885
54	337
54	642
54	465
54	1781
54	84
54	1589
54	396
54	334
54	1401
55	446
55	772
55	1257
55	356
55	1164
55	936
55	1167
55	263
55	694
55	198
55	347
55	1369
55	230
55	1602
56	770
56	234
56	618
56	318
56	1842
56	1327
56	276
56	568
56	1036
57	758
57	639
57	1233
57	1791
57	1630
57	682
57	996
57	1696
57	151
57	1864
57	1137
57	1764
57	125
57	1799
57	1607
57	201
57	1672
57	322
57	1317
57	439
57	1426
57	1455
57	1718
57	1784
57	535
57	394
57	1724
58	336
58	314
58	932
58	114
58	759
58	83
58	587
58	1053
58	59
58	939
58	1630
58	1364
58	994
58	512
58	760
58	1631
58	682
58	231
58	1276
58	905
58	486
58	1546
58	514
58	1835
58	875
58	1635
58	125
58	238
58	1610
58	1252
58	1444
58	1157
58	244
58	1319
58	1162
58	248
58	211
58	1069
58	1124
58	840
58	74
58	928
58	581
58	1226
58	1749
58	1203
58	1075
59	313
59	1445
59	1157
59	1285
59	488
59	1373
59	662
59	83
59	263
59	677
59	1104
59	1075
60	1271
60	814
60	425
60	1756
60	228
60	1395
60	904
60	124
60	320
60	323
60	158
60	1222
60	129
60	211
60	603
60	387
60	418
60	136
60	218
60	893
60	1204
60	1825
62	558
62	1880
62	1376
62	1675
63	1170
63	1322
64	1464
64	1410
64	1628
64	1732
64	905
64	971
64	1339
64	1024
64	373
64	1551
64	1477
64	319
64	880
64	1157
64	1481
64	351
64	1645
64	1119
64	1292
64	1038
64	136
64	1264
64	1406
