ID	Label
1	Sabretooth
2	O
3	Human Nature
4	Shaft's Big Score
5	Cat's Eye
6	The Man Who Wasn't There
7	Miranda
8	Class
9	Phenomenon
10	Whatever Happened to Harold Smith?
11	Meatballs
12	Divine Intervention
13	Devil's Gate
14	The Magician
15	Cloak & Dagger
16	Revenge
17	Cocktail
18	Under My Skin
19	The Lion King 1Â½
20	Jack
21	The Producers
22	Akira
23	Volcano
24	Spanish Fly
25	The Adventures of Priscilla, Queen of the Desert
26	Kill Bill
27	Jackie Brown
28	The Professionals
29	Swing Kids
30	Resident Evil
31	Suspicion
32	Midway
33	Dead Ringers
34	I Confess
35	Hot Shots!
36	Stigmata
37	Doctor Dolittle
38	Sweet Dreams
39	Boiler Room
40	Deathtrap
41	The Night of the Hunter
42	State of Grace
43	Love Me or Leave Me
44	Anastasia
45	Shogun
46	Ragtime
47	My Girl
48	Kwaidan
49	Kanao
50	Cats & Dogs
51	Bonnie and Clyde
52	Taiyo o Nusunda Otoko
53	Of Mice and Men
54	Star Trek IV: The Voyage Home
55	Northwest Passage
56	Cobb
57	The Phantom of the Opera
58	Domino
59	Final Fantasy VII: Advent Children
60	Walker
61	Ryan
62	Three Colors: Red
63	Shiva
64	Mulholland Drive
65	Gross Anatomy
66	In Harm's Way
67	Underworld
68	My Cousin Rachel
69	Possession
70	Immortal Beloved
71	Smoke Signals
72	Madame Curie
73	The Jazz Singer
74	The Hole
75	House on Haunted Hill
76	Faster, Pussycat! Kill! Kill!
77	Outbreak
78	The Singing Detective
79	Secrets & Lies
80	Swordfish
81	Immortel
82	Morocco
83	American Beauty
84	Star Trek: Generations
85	Robotix
86	Groundhog Day
87	To Sir, with Love
88	The Mark of Zorro
89	The Belles of St Trinian's
90	Dog Park
91	Three Colors: Blue
92	Anna
93	The Osterman Weekend
94	Voodoo Academy
95	For Love of the Game
96	Dangerous
97	Serenity
98	Millennium
99	Sink the Bismarck!
100	Sleuth
101	Police Academy 2: Their First Assignment
102	The Wash
103	Swept Away
104	El Dorado
105	Pi
106	Heroism
107	Stella
108	The Real McCoy
109	Mimic
110	1969
111	Anaconda
112	Rick
113	Life Is Sweet
114	Chicago
115	Bombay
116	Fame
117	Bushido Blade
118	Amistad
119	The Great St Trinian's Train Robbery
120	Metroland
121	Contraband
122	Love & Pop
123	The Crucible
124	The Rock
125	Pirates of the Caribbean: Dead Man's Chest
126	Real Life
127	Dude, Where's My Car?
128	Hero
129	The Little Mermaid
130	Grand Illusion
131	Original Sin
132	AVP: Alien vs. Predator
133	The Circus
134	E.T. the Extra-Terrestrial
135	Babylon 5: The Gathering
136	Nixon
137	Prey for Rock & Roll
138	8mm
139	The Messenger: The Story of Joan of Arc
140	Mockingbird Don't Sing
141	Kiss of Death
142	Strangers on a Train
143	Revenge of the Nerds II: Nerds in Paradise
144	A Bug's Life
145	Captain Blood
146	Central do Brasil
147	Vanity Fair
148	The Cruise
149	Anywhere But Here
150	The Preacher's Wife
151	Mr. & Mrs. Bridge
152	Foxy Brown
153	Selena
154	Miller's Crossing
155	The Pillow Book
156	Jurassic Park
157	The Count of Monte Cristo
158	Outland
159	Micki + Maude
160	The American President
161	A Tale of Two Cities
162	Dr. T & the Women
163	Hot Shots! Part Deux
164	Welcome Home, Roxy Carmichael
165	Super Mario Bros.
166	Leon
167	Weekend at Bernie's II
168	Austin Powers:The Spy Who Shagged Me
169	Ghost in the Shell 2: Innocence
170	Robin Hood: Prince of Thieves
171	The Replacements
172	Dilwale Dulhaniy Le Jayenge
173	Teddy Bear
174	...And Justice for All
175	The Last Command
176	The Tell-Tale Heart
177	Mr. Magoo's Christmas Carol
178	Who's That Girl?
179	Labyrinth
180	Ginger Snaps 2: Unleashed
181	Ed Wood
182	Armour of God II: Operation Condor
183	Ben Hur
184	Happy Birthday, Wanda June
185	The Mummy
186	Swingers
187	Ferris Bueller's Day Off
188	Red River
189	Assault on Precinct 13
190	Star Trek Nemesis
191	Always
192	Rugrats in Paris: The Movie
193	The Gate
194	Mask
195	Pinocchio
196	XXX
